,business_id,cool,date,funny,review_id,stars,text,useful,user_id
564,5XYR6doRa5Nj1JMfSDei6A,1,2016-06-14,0,xlGJkxoIBl8XH8wVsPZpnw,5,"Always great friendly service and fresh baked bread and desserts everyday. 

Highly recommend the custard cakes they are the closest thing I have ever tried to the original Pastéis de Belém in Lisboa  

The rice flour cake is also really good and a good option for those whom do not like cake too sweet. 


The bean cakes are great here too!  orange, almond, and a few others I have tried are all good. 


Can't go wrong with Nova Era",0,kBNFdviedCPFWyR-wVaAzw
501,LWtKuyX8w5SFm-JviPr4qQ,0,2014-01-28,0,BuQYpKfuLwQvAFBOONXOaQ,2,"The food is not great but the price is ok. We don't come for the service but we don't have to wait for a seat during the Sunday lunch hour so it's bearable. If we have a group larger than 8, we get the party special. Otherwise the other lunch specials are reasonably priced (about $8-10).",0,UGW-9bbBEB3eP1o6mWD_WA
339,sscP36MO34i5ep4QO8c7KA,2,2011-01-06,0,lEwYfkqQEPfvUs-0inB2-w,3,"I had a terrible latte here. Bitter, weak foam, and unexciting. Maybe it was a bad day to go in, since I walked in on Boxing Day, and it was one of the only open cafes. I might give it a do over after I'm done with the rest of my Indie Coffee Passport stops, but I'm not in any rush.

I enjoyed the space itself though, that wide open emptiness. My table was covered in magazines (so if you don't bring reading material, you're more than covered), they have wifi and I read and finished a book without interruption (it's quiet). I'd probably go back eventually, buy a coffee I might not even like, solely to hang around. Maybe that's why there isn't much seating, there is a certain dark homey comfort to this place I can't quite put my finger on, but I like it.

While I'm happy they offer soy AND almond milk, I don't like that they charge extra for it.",3,YgavGxfAdjhkkbwlAY_9ZQ
989,YulFeohJQz8ECCuxopF3NQ,0,2017-02-10,0,NoHIRjactw4XGlVPP6bDKA,5,Best dental place ever they are so nice and when I told them my teeth were sensitive they paid attention and did a fantastic job. Our entire family goes there and I would highly recommend going there they take all types of insurance. I am the biggest chicken when it comes to going to the dentist and they made the experience wonderful.,0,ywjqPgnMrDZKOhA33v92Cw
728,rmP7AzV3SAeRWUzbNuqQ5A,0,2015-05-20,0,nTf7s720IRC6bweUyFXZuA,5,Excellent service and experience all around. Sometimes you can tell the quality of a restaurant by how they handle the simplist things.  Their prime rib sandwich with au jus dip was perfect and tender. Highly recommend,0,qSnGTERljtADoOatQiekrg
427,xOZd6roDjtb_ILWEwUKfOQ,0,2013-07-30,0,H-na7ABrMD-s3cjmIQGBdA,1,"I agree from Christopher B.'s review ~ BUYER BEWARE and NEVER GO TO THIS PLACE!! I have a great place that I will recommend (read my review about Portrait Innovations), however, I've been here twice and it got worse every visit.  

The first visit was for my maternity photos because my friend recommended this place (her photos are great) however mine was not.  The service was so-so, the sales person was that wanted to sell but she did take more than 30 shots.  When I received my photos they were all dark and we blended in the background but the proofs were completely the opposite.  

Ok so I let it go trying to give them benefit of the doubt.  

Second time was more than a year later for my son's 1st birthday photos.  This was really bad ~ the sales person is different from the last time and she was rudest person.  She rushed the pictorial and wouldn't allow a family shot because ""per company policy"" can only take 12-15 shots.  Bogus!! 

I bought the simplest package.  She does not deserve a sale!",4,AuIK5tF2GjO7SftHawTLKw
518,cDoo0Pf1d_P79Rq3ZNk-Mw,0,2014-02-01,0,glvmn8Dz4h6MjYNz3YCwSg,2,"We had a reservation on a Friday night at 6:30 and the place was practically empty. We asked for a room which had space for our legs below. Service was fine. 

The food was fine. Nothing above and beyond what you would expect. The sashimi pieces were a good size. The sushi rolls didn't have too much rice. My tuna/avocado tartare appetizer was bland so it tasted like a tuna roll without the rice. 

I probably wouldn't come back.",1,UGW-9bbBEB3eP1o6mWD_WA
877,VKmGedwOk-16D7OawNg_ng,0,2011-04-06,0,uS3ZWQxgZkfPsnxWSR9sCw,3,"I have been to both locations. It has that buffet atmosphere so there you go. People taking what they want and more. My hubby likes it because you get more for your money especially for dinner. They have lots of seafood and fresh oyster that I do not eat but hubby does. I like the Mongolian bbq although I had to tell the man making it to not overcook the veggies. No salad bar and some fruits. Love the baked bananas, yum! Will go back because of the mongolian bbq.  At least I can eat something here that I like. Kids are also half price, yay!",0,qr9hmaIxq1z9ycgT28PpRw
996,kj1p6NwUGROOoqNySf0I1Q,0,2016-08-08,0,oCSkhKEcGyCTEloBlBo3RQ,5,"I came here for lunch after reading previous reviews, and now I'm hooked! I come here at least twice a week now and love the salad and soup bar, as well as the red curry. Delicious!",0,aJVwhGMTz4fy_pRYBV86Jw
108,JPfi__QJAaRzmfh5aOyFEw,0,2017-01-31,0,mqhCY5oLA1LXP6gZ3JQDTQ,3,"The spicy wonton was my favorite. We ordered another round of it and the potstickers. I had the Shang beef noodle soup which was good, but would've been better if it wasn't too salty. I also had a taste of my friend's order of the Peking Zha Jiang noodles which was okay.",0,Yy_iGXxLpL6tYDQoE-6XVg
